,taxon_name_w_authors,accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_direct_accepted_name_w_author
16731,Cheirostylis josephi Schltr.,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis Rolfe,Cheirostylis yunnanensis var. yunnanensis
17129,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Ragala Pierre
17134,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Prieurella Pierre
17135,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Achrouteria Eyma
17138,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Martiusella Pierre
17142,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Chloroluma Baill.
17143,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,Chloroluma Baill.
17612,Cleisostoma flagellare (Schltr.) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17613,Cleisostoma flagelliforme (Rolfe ex Downie) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17614,Cleisostoma crucicallum (Burkill) Garay,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17616,Sarcanthus geoffrayi Guillaumin,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17617,Sarcanthus flagellaris Schltr.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17618,Sarcanthus flagelliformis Rolfe ex Downie,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17619,Sarcanthus crucicallus (Burkill) Seidenf. & Smitinand,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17620,Saccolabium crucicallus Burkill,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum Kraenzl.,Cleisostoma fuerstenbergianum var. fuerstenbergianum
17913,Clerodendrum adenocalyx Dop,Clerodendrum adenocalyx Dop,Clerodendrum adenocalyx Dop,,
17938,Clerodendrum capitatum Hook.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17941,Siphonanthus conglobatus (Baker) Hiern,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17942,Clerodendrum conglobatum Baker,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17943,Clerodendrum whitfieldii Seem.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17944,Clerodendrum talbotii Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17945,Clerodendrum obanense Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17946,Clerodendrum capitatum var. conglobatum (Baker) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
17947,Clerodendrum capitatum var. talbotii (Wernham) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum var. capitatum
18116,Clerodendrum sessilifolium Moldenke,Clerodendrum sessilifolium Moldenke,Clerodendrum sessilifolium Moldenke,,
18657,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma savaiiense Christoph.
18658,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma savaiiense Christoph.
18660,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma savaiiense Christoph.
19055,Coelogyne cycnoches C.S.P.Parish & Rchb.f.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne cycnoches C.S.P.Parish & Rchb.f.
19609,Congea forbesii var. ridleyana Munir,Congea forbesii King & Gamble,Congea forbesii King & Gamble,Congea forbesii King & Gamble,Congea forbesii var. ridleyana Munir
20573,Eucalyptus variegata F.Muell.,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia variegata (F.Muell.) K.D.Hill & L.A.S.Johnson
20586,Eucalyptus capricornia D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson
20588,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson
20589,Eucalyptus drysdalensis D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia drysdalensis (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson
20643,Corymbia setosa subsp. pedicellaris K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa subsp. pedicellaris K.D.Hill & L.A.S.Johnson
21414,Croton cascarilla Lam.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton eluteria (L.) W.Wright
21415,Croton albidus Müll.Arg.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton humilis L.
21421,Croton lamarckianus Moldenke,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton eluteria (L.) W.Wright
21428,Oxydectes albida (Müll.Arg.) Kuntze,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton humilis L.
22656,Macrophloga Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Chrysalidocarpus H.Wendl.
22881,Hemiperis micrantha Frapp. ex Cordem.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis micrantha (Frapp. ex Cordem.) Schltr.
23879,Orchis francis-drucei Wilmott,Dactylorhiza majalis subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza majalis subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza francis-drucei subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza francis-drucei (Wilmott) Aver.
23882,Dactylorhiza majalis var. ebudensis Wief. ex R.M.Bateman & Denholm,Dactylorhiza majalis subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza majalis subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza francis-drucei subsp. traunsteinerioides (Pugsley) R.M.Bateman & Denholm,Dactylorhiza francis-drucei var. ebudensis (Wief. ex R.M.Bateman & Denholm) R.M.Bateman & Denholm
24871,Dendrobium lawianum Lindl.,Dendrobium crepidatum Lindl. & Paxton,Dendrobium crepidatum Lindl. & Paxton,Dendrobium crepidatum Lindl. & Paxton,Dendrobium lawianum Lindl.
24874,Dendrochilum roseum Dalzell,Dendrobium crepidatum Lindl. & Paxton,Dendrobium crepidatum Lindl. & Paxton,Dendrobium crepidatum Lindl. & Paxton,Dendrobium lawianum Lindl.
28285,Chrysalidocarpus H.Wendl.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Chrysalidocarpus H.Wendl.
28290,Phlogella Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Chrysalidocarpus H.Wendl.
28293,Antongilia Jum.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Vonitra Becc.
28294,Vonitra Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Vonitra Becc.
28410,Dypsis thouarsiana Baill.,Dypsis thouarsiana Baill.,Dypsis thouarsiana Baill.,,
28411,Vonitra thouarsiana (Baill.) Becc.,Dypsis thouarsiana Baill.,Dypsis thouarsiana Baill.,,
30066,Epipactis leptochila subsp. sancta (P.Delforge) Kreutz,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis subsp. sancta (P.Delforge) Kreutz
30067,Epipactis peitzii var. sancta P.Delforge,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis subsp. sancta (P.Delforge) Kreutz
30068,Epipactis dunensis subsp. sancta (P.Delforge) Kreutz,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis subsp. sancta (P.Delforge) Kreutz
30070,Epipactis dunensis subsp. tynensis Kreutz,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,Epipactis dunensis subsp. dunensis
