,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
542044,Psychotria hallei Aké Assi & Bouton,Psychotria adafoana K.Schum.,Psychotria adafoana K.Schum.,Psychotria adafoana K.Schum.,Psychotria adafoana,Psychotria ivorensis De Wild.,Psychotria ivorensis,Psychotria,Psychotria
542207,Psychotria ficigemma DC.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis,Psychotria ficigemma DC.,Psychotria ficigemma,Psychotria,Psychotria
542221,Mapouria ficigemma (DC.) Lemée,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis,Psychotria ficigemma DC.,Psychotria ficigemma,Psychotria,Psychotria
542228,Uragoga ficigemma (DC.) Kuntze,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis Jacq.,Psychotria carthagenensis,Psychotria ficigemma DC.,Psychotria ficigemma,Psychotria,Psychotria
542504,Psychotria nitidula Cham. & Schltdl.,Palicourea leiocarpa (Cham. & Schltdl.) Delprete,Palicourea leiocarpa (Cham. & Schltdl.) Delprete,Palicourea leiocarpa (Cham. & Schltdl.) Delprete,Palicourea leiocarpa,Psychotria nitidula Cham. & Schltdl.,Psychotria nitidula,Palicourea,Psychotria
542801,Psychotria tarambassica Bremek.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542844,Psychotria swynnertonii Bremek.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542845,Psychotria volkensii K.Schum.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542847,Psychotria kirkii var. tarambassica (Bremek.) Verdc.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542848,Psychotria kirkii var. volkensii (K.Schum.) Verdc.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542849,Psychotria kirkii Hiern,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542850,Psychotria hirtella Oliv.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542852,Psychotria mucronata Hiern,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
542853,Psychotria nairobiensis Bremek.,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata var. punctata,Psychotria punctata,Psychotria kirkii Hiern,Psychotria kirkii,Psychotria,Psychotria
543174,Proteroceras holttumii J.Joseph & Vajr.,Pteroceras leopardinum (C.S.P.Parish & Rchb.f.) Seidenf. & Smitinand,Pteroceras leopardinum (C.S.P.Parish & Rchb.f.) Seidenf. & Smitinand,Pteroceras leopardinum (C.S.P.Parish & Rchb.f.) Seidenf. & Smitinand,Pteroceras leopardinum,Pteroceras viridiflorum (Thwaites) Holttum,Pteroceras viridiflorum,Pteroceras,Pteroceras
543459,Quercus afares f. spinosa Villar,Quercus afares Pomel,Quercus afares Pomel,Quercus afares Pomel,Quercus afares,Quercus × numidica Trab.,Quercus × numidica,Quercus,Quercus
543563,Quercus graciliformis C.H.Mull.,Quercus canbyi Trel.,Quercus canbyi Trel.,Quercus canbyi Trel.,Quercus canbyi,Quercus graciliformis C.H.Mull.,Quercus graciliformis,Quercus,Quercus
543713,Quercus coccifera f. densispinosa Cout.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus pseudococcifera subsp. pseudococcifera,Quercus pseudococcifera,Quercus,Quercus
543717,Quercus coccifera var. tomentosa A.DC.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus airensis Franco & Vasc.,Quercus airensis,Quercus,Quercus
543720,Quercus coccifera var. imbricata A.DC.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus pseudococcifera subsp. pseudococcifera,Quercus pseudococcifera,Quercus,Quercus
543728,Quercus coccifera f. tomentosa (A.DC.) Cout.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus airensis Franco & Vasc.,Quercus airensis,Quercus,Quercus
543756,Quercus mesto Boiss.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus pseudococcifera subsp. pseudococcifera,Quercus pseudococcifera,Quercus,Quercus
543764,Quercus coccifera subsp. mesto (Boiss.) Nyman,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera L.,Quercus coccifera,Quercus pseudococcifera subsp. pseudococcifera,Quercus pseudococcifera,Quercus,Quercus
543793,Quercus humilis f. subcrenatolobata Cout.,Quercus × coutinhoi Samp.,Quercus × coutinhoi Samp.,Quercus × coutinhoi Samp.,Quercus × coutinhoi,"Quercus × sampaioana Vila-Viçosa, Capelo, P.Alves, R.Almeida & F.M.Vázquez",Quercus × sampaioana,Quercus,Quercus
543801,Quercus × coutinhoi f. duriensis Franco & Vasc.,Quercus × coutinhoi Samp.,Quercus × coutinhoi Samp.,Quercus × coutinhoi Samp.,Quercus × coutinhoi,"Quercus × duriensis (Franco & Vasc.) Vila-Viçosa, Capelo, P.Alves, R.Almeida & F.M.Vázquez",Quercus × duriensis,Quercus,Quercus
543961,Quercus lusitanica f. microphylla Cout.,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea,Quercus × senneniana A.Camus,Quercus × senneniana,Quercus,Quercus
543962,Quercus lusitanica f. pedunculata Cout.,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea,Quercus × coutinhoi Samp.,Quercus × coutinhoi,Quercus,Quercus
543973,Quercus faginea subvar. bullata (Cout.) A.Camus,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea,Quercus × coutinhoi Samp.,Quercus × coutinhoi,Quercus,Quercus
543974,Quercus faginea subvar. microphylla (Cout.) A.Camus,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea,Quercus × senneniana A.Camus,Quercus × senneniana,Quercus,Quercus
543985,Quercus alpestris var. pedunculata A.Camus,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea subsp. faginea,Quercus faginea,Quercus × coutinhoi Samp.,Quercus × coutinhoi,Quercus,Quercus
544071,Quercus × mauritanica Trab.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × numidica Trab.,Quercus × numidica,Quercus,Quercus
544072,Quercus broteroi subsp. tlemcenensis (A.DC.) F.M.Vázquez & Coombes,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544073,Quercus × tlemcenensis (A.DC.) Villar,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544075,Quercus × pacensis F.M.Vázquez,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × pacensis F.M.Vázquez,Quercus × pacensis,Quercus,Quercus
544076,Quercus × kabylica Trab.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × numidica Trab.,Quercus × numidica,Quercus,Quercus
544077,Quercus × numidica Trab.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × numidica Trab.,Quercus × numidica,Quercus,Quercus
544078,Quercus mirbeckii f. tlemcenensis (A.DC.) Trab.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544080,Quercus × pseudosuber var. tlemcenensis A.DC.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544083,Quercus faginea var. tlemcenensis (A.DC.) Maire,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544084,Quercus faginea subsp. tlemcenensis (A.DC.) Maire & Weiller ex Greuter & Burdet,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica Lam.,Quercus × hispanica,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis,Quercus,Quercus
544299,Quercus ovalifolia Pers.,Quercus lusitanica Lam.,Quercus lusitanica Lam.,Quercus lusitanica Lam.,Quercus lusitanica,Quercus faginea subsp. faginea,Quercus faginea,Quercus,Quercus
544368,Quercus lusitanica f. ellipticifolia Cout.,Quercus × welwitschii Samp.,Quercus × welwitschii Samp.,Quercus × welwitschii Samp.,Quercus × welwitschii,Quercus faginea subsp. faginea,Quercus faginea,Quercus,Quercus
544389,Quercus alpestris var. ellipticifolia (Cout.) A.Camus,Quercus × welwitschii Samp.,Quercus × welwitschii Samp.,Quercus × welwitschii Samp.,Quercus × welwitschii,Quercus faginea subsp. faginea,Quercus faginea,Quercus,Quercus
544560,Quercus rotundifolia f. crassicupulata (Cout.) F.M.Vázquez,Quercus rotundifolia Lam.,Quercus rotundifolia Lam.,Quercus rotundifolia Lam.,Quercus rotundifolia,Quercus × avellaniformis Colmeiro & E.Boutelou,Quercus × avellaniformis,Quercus,Quercus
544563,Quercus ilex f. crassicupulata Cout.,Quercus rotundifolia Lam.,Quercus rotundifolia Lam.,Quercus rotundifolia Lam.,Quercus rotundifolia,Quercus × avellaniformis Colmeiro & E.Boutelou,Quercus × avellaniformis,Quercus,Quercus
544631,Quercus granulata Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii,Quercus citrifolia Liebm.,Quercus citrifolia,Quercus,Quercus
544632,Quercus citrifolia Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii,Quercus citrifolia Liebm.,Quercus citrifolia,Quercus,Quercus
544634,Quercus borucasana Trel.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii,Quercus citrifolia Liebm.,Quercus citrifolia,Quercus,Quercus
544636,Quercus eugeniifolia Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii Liebm.,Quercus seemannii,Quercus eugeniifolia Liebm.,Quercus eugeniifolia,Quercus,Quercus
544946,Rauvolfia liberiensis Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii,Rauvolfia cumminsii Stapf,Rauvolfia cumminsii,Rauvolfia,Rauvolfia
544947,Rauvolfia obscura K.Schum.,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii,Rauvolfia obscura K.Schum.,Rauvolfia obscura,Rauvolfia,Rauvolfia
544948,Rauvolfia cumminsii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii,Rauvolfia cumminsii Stapf,Rauvolfia cumminsii,Rauvolfia,Rauvolfia
544950,Rauvolfia ivorensis A.Chev.,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii,Rauvolfia cumminsii Stapf,Rauvolfia cumminsii,Rauvolfia,Rauvolfia
544952,Rauvolfia rosea K.Schum.,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii Stapf,Rauvolfia mannii,Rauvolfia rosea K.Schum.,Rauvolfia rosea,Rauvolfia,Rauvolfia
545385,Stachydeoma angulata Tharp,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus,Rhododon angulatus (Tharp) B.L.Turner,Rhododon angulatus,Rhododon,Rhododon
545386,Rhododon angulatus (Tharp) B.L.Turner,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus (Benth.) Epling,Rhododon ciliatus,Rhododon angulatus (Tharp) B.L.Turner,Rhododon angulatus,Rhododon,Rhododon
545412,Rhodospatha dammeri Sodiro,Rhodospatha densinervia Engl. & K.Krause,Rhodospatha densinervia Engl. & K.Krause,Rhodospatha densinervia Engl. & K.Krause,Rhodospatha densinervia,Rhodospatha dammeri Sodiro,Rhodospatha dammeri,Rhodospatha,Rhodospatha
545417,Rhodospatha longipes Engl.,Rhodospatha oblongata Poepp.,Rhodospatha oblongata Poepp.,Rhodospatha oblongata Poepp.,Rhodospatha oblongata,Rhodospatha longipes Engl.,Rhodospatha longipes,Rhodospatha,Rhodospatha
545419,Rhodospatha blanda Schott,Rhodospatha oblongata Poepp.,Rhodospatha oblongata Poepp.,Rhodospatha oblongata Poepp.,Rhodospatha oblongata,Rhodospatha latifolia Poepp.,Rhodospatha latifolia,Rhodospatha,Rhodospatha
545826,Cleisostoma ornithorrhynchum (Rchb.f.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea,Cleisostoma discolor Lindl.,Cleisostoma discolor,Robiquetia,Cleisostoma
545829,Sarcanthus ornithorrhynchus Rchb.f.,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea,Cleisostoma discolor Lindl.,Cleisostoma discolor,Robiquetia,Cleisostoma
547052,Salvia curtiflora Epling,Salvia nervata M.Martens & Galeotti,Salvia nervata M.Martens & Galeotti,Salvia nervata M.Martens & Galeotti,Salvia nervata,Salvia curtiflora Epling,Salvia curtiflora,Salvia,Salvia
547953,Saccolabium spatulatum Rolfe ex Downie,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata,Schoenorchis spatulata (Rolfe ex Downie) Seidenf. & Smitinand,Schoenorchis spatulata,Schoenorchis,Schoenorchis
547955,Schoenorchis spatulata (Rolfe ex Downie) Seidenf. & Smitinand,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata (Lindl.) J.J.Sm.,Schoenorchis gemmata,Schoenorchis spatulata (Rolfe ex Downie) Seidenf. & Smitinand,Schoenorchis spatulata,Schoenorchis,Schoenorchis
548594,"Serapias vomeracea subsp. artemisiae W.Hahn, Kreutz & Passin",Serapias cordigera L.,Serapias cordigera L.,Serapias cordigera L.,Serapias cordigera,Serapias vomeracea (Burm.f.) Briq.,Serapias vomeracea,Serapias,Serapias
548793,Sideritis hirsuta var. vallisoletana Sennen & Pau,Sideritis hirsuta L.,Sideritis hirsuta L.,Sideritis hirsuta L.,Sideritis hirsuta,"Sideritis × vallisoletana (Sennen & Pau) R.Roselló, P.P.Ferrer, Fabado, Gómez Nav., E.Laguna & Peris",Sideritis × vallisoletana,Sideritis,Sideritis
549374,Sobralia lindenii W.Watson,Sobralia rosea Poepp. & Endl.,Sobralia rosea Poepp. & Endl.,Sobralia rosea Poepp. & Endl.,Sobralia rosea,Sobralia pulcherrima Garay,Sobralia pulcherrima,Sobralia,Sobralia
549466,Spathoglottis lobbii Rchb.f.,Spathoglottis affinis de Vriese,Spathoglottis affinis de Vriese,Spathoglottis affinis de Vriese,Spathoglottis affinis,Spathoglottis lobbii Rchb.f.,Spathoglottis lobbii,Spathoglottis,Spathoglottis
549505,Humboltia crepidophylla (Rchb.f.) Kuntze,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi,Specklinia crepidophylla (Rchb.f.) Solano & Licona,Specklinia crepidophylla,Specklinia,Specklinia
549510,Pleurothallis ezechiasi Hoehne,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi,Pabstiella ezechiasi (Hoehne) Luer,Pabstiella ezechiasi,Specklinia,Pabstiella
549513,Pleurothallis crepidophylla Rchb.f.,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi,Specklinia crepidophylla (Rchb.f.) Solano & Licona,Specklinia crepidophylla,Specklinia,Specklinia
549515,Specklinia ezechiasi (Hoehne) Luer,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi,Pabstiella ezechiasi (Hoehne) Luer,Pabstiella ezechiasi,Specklinia,Pabstiella
549517,Pabstiella ezechiasi (Hoehne) Luer,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi (Bateman ex Lindl.) F.Barros,Specklinia grobyi,Pabstiella ezechiasi (Hoehne) Luer,Pabstiella ezechiasi,Specklinia,Pabstiella
549577,Borreria rubrostipulata DC.,Spermacoce capitata Ruiz & Pav.,Spermacoce capitata Ruiz & Pav.,Spermacoce capitata Ruiz & Pav.,Spermacoce capitata,Spermacoce quadrifaria (E.L.Cabral) Govaerts,Spermacoce quadrifaria,Spermacoce,Spermacoce
549605,Borreria parviflora var. scabra Griseb.,Spermacoce eryngioides (Cham. & Schltdl.) Kuntze,Spermacoce eryngioides (Cham. & Schltdl.) Kuntze,Spermacoce eryngioides (Cham. & Schltdl.) Kuntze,Spermacoce eryngioides,Spermacoce affinis (DC.) R.M.Salas,Spermacoce affinis,Spermacoce,Spermacoce
549902,Spiranthes stylites Lindl.,Spiranthes australis (R.Br.) Lindl.,Spiranthes australis (R.Br.) Lindl.,Spiranthes australis (R.Br.) Lindl.,Spiranthes australis,Spiranthes stylites Lindl.,Spiranthes stylites,Spiranthes,Spiranthes
549958,Spiranthes nivea T.P.Lin & W.M.Lin,Spiranthes sinensis (Pers.) Ames,Spiranthes sinensis (Pers.) Ames,Spiranthes sinensis (Pers.) Ames,Spiranthes sinensis,Spiranthes nivea T.P.Lin & W.M.Lin,Spiranthes nivea,Spiranthes,Spiranthes
550403,Stachytarpheta glabra var. angustifolia Schauer,Stachytarpheta glabra Cham.,Stachytarpheta glabra Cham.,Stachytarpheta glabra Cham.,Stachytarpheta glabra,Stachytarpheta harleyi S.Atkins,Stachytarpheta harleyi,Stachytarpheta,Stachytarpheta
550468,Stachytarpheta restingensis var. hispidula Moldenke,Stachytarpheta schottiana Schauer,Stachytarpheta schottiana Schauer,Stachytarpheta schottiana Schauer,Stachytarpheta schottiana,Stachytarpheta cayennensis (Rich.) Vahl,Stachytarpheta cayennensis,Stachytarpheta,Stachytarpheta
550814,Stenogyne kealiae Wawra,Stenogyne purpurea H.Mann,Stenogyne purpurea H.Mann,Stenogyne purpurea H.Mann,Stenogyne purpurea,Stenogyne kealiae Wawra,Stenogyne kealiae,Stenogyne,Stenogyne
550940,Cleisostoma pachyphyllum Cavestro,Stereochilus laxus (Rchb.f.) Garay,Stereochilus laxus (Rchb.f.) Garay,Stereochilus laxus (Rchb.f.) Garay,Stereochilus laxus,Stereochilus pachyphyllus (Cavestro) Cavestro,Stereochilus pachyphyllus,Stereochilus,Stereochilus
550949,Shuttleworthia Meisn.,Verbena L.,Verbena L.,Verbena L.,,Glandularia J.F.Gmel.,,Verbena,Glandularia
550987,Helleranthus Small,Verbena L.,Verbena L.,Verbena L.,,Glandularia J.F.Gmel.,,Verbena,Glandularia
551002,Stillingia tenuis Small,Stillingia sylvatica L.,Stillingia sylvatica L.,Stillingia sylvatica L.,Stillingia sylvatica,Stillingia tenuis Small,Stillingia tenuis,Stillingia,Stillingia
551005,Stillingia sylvatica subsp. tenuis (Small) D.J.Rogers,Stillingia sylvatica L.,Stillingia sylvatica L.,Stillingia sylvatica L.,Stillingia sylvatica,Stillingia tenuis Small,Stillingia tenuis,Stillingia,Stillingia
551036,Verbenella Spach,Verbena L.,Verbena L.,Verbena L.,,Glandularia J.F.Gmel.,,Verbena,Glandularia
551742,Syzygium folidorhachis Merr. & L.M.Perry,Syzygium furfuraceum Merr. & L.M.Perry,Syzygium furfuraceum Merr. & L.M.Perry,Syzygium furfuraceum Merr. & L.M.Perry,Syzygium furfuraceum,Syzygium folidorhachis Merr. & L.M.Perry,Syzygium folidorhachis,Syzygium,Syzygium
552683,Tarenna asiatica var. montana (Thwaites) D.C.S.Raju,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica,Tarenna flava Alston,Tarenna flava,Tarenna,Tarenna
552691,Stylocoryna webera var. montana Thwaites,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica (L.) Kuntze ex K.Schum.,Tarenna asiatica,Tarenna flava Alston,Tarenna flava,Tarenna,Tarenna
553246,Teucrium purpurascens Medik.,Teucrium polium subsp. polium,Teucrium polium subsp. polium,Teucrium polium subsp. polium,Teucrium polium,Teucrium flavum subsp. flavum,Teucrium flavum,Teucrium,Teucrium
553253,Teucrium polium var. tetuanense Pau,Teucrium polium subsp. polium,Teucrium polium subsp. polium,Teucrium polium subsp. polium,Teucrium polium,"Teucrium tetuanense (Pau) R.Roselló, P.P.Ferrer, Riera, Gómez Nav. & Peris",Teucrium tetuanense,Teucrium,Teucrium
553291,Teucrium flavescens var. candicans Cuatrec.,Teucrium similatum T.Navarro & Rosua,Teucrium similatum T.Navarro & Rosua,Teucrium similatum T.Navarro & Rosua,Teucrium similatum,"Teucrium candicans (Cuatrec.) R.Roselló, P.P.Ferrer, Gómez Nav. & Peris",Teucrium candicans,Teucrium,Teucrium
553506,Dendrocolla alba Ridl.,Thrixspermum trichoglottis (Hook.f.) Kuntze,Thrixspermum trichoglottis (Hook.f.) Kuntze,Thrixspermum trichoglottis (Hook.f.) Kuntze,Thrixspermum trichoglottis,Thrixspermum pulchellum (Thwaites) Schltr.,Thrixspermum pulchellum,Thrixspermum,Thrixspermum
553844,Thymus pseudopannonicus Klokov,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus pseudopannonicus Klokov,Thymus pseudopannonicus,Thymus,Thymus
553870,Thymus platyphyllus Klokov,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus marschallianus Willd.,Thymus marschallianus,Thymus,Thymus
553873,Thymus stepposus Klokov & Des.-Shost.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus stepposus Klokov & Des.-Shost.,Thymus stepposus,Thymus,Thymus
553876,Thymus marschallianus Willd.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus marschallianus Willd.,Thymus marschallianus,Thymus,Thymus
553878,Thymus marschallianus var. latifolius Besser,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus marschallianus Willd.,Thymus marschallianus,Thymus,Thymus
553889,Thymus amictus Klokov,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus All.,Thymus pannonicus,Thymus marschallianus Willd.,Thymus marschallianus,Thymus,Thymus
554044,Thymus zelenetzkyi Klokov & Des.-Shost.,Thymus roegneri K.Koch,Thymus roegneri K.Koch,Thymus roegneri K.Koch,Thymus roegneri,Thymus callieri Borbás ex Velen.,Thymus callieri,Thymus,Thymus
554074,Thymus tosevii Velen.,Thymus sibthorpii Benth.,Thymus sibthorpii Benth.,Thymus sibthorpii Benth.,Thymus sibthorpii,Thymus tosevii Velen.,Thymus tosevii,Thymus,Thymus
554165,Thymus hirtus var. wallii Maire,Thymus willdenowii Boiss.,Thymus willdenowii Boiss.,Thymus willdenowii Boiss.,Thymus willdenowii,Thymus algeriensis Boiss. & Reut.,Thymus algeriensis,Thymus,Thymus
554307,Oncidium velutinum Lindl. & Paxton,Tolumnia variegata (Sw.) Braem,Tolumnia variegata (Sw.) Braem,Tolumnia variegata (Sw.) Braem,Tolumnia variegata,Tolumnia velutina (Lindl. & Paxton) Braem,Tolumnia velutina,Tolumnia,Tolumnia
554311,Oncidium leiboldii Rchb.f.,Tolumnia variegata (Sw.) Braem,Tolumnia variegata (Sw.) Braem,Tolumnia variegata (Sw.) Braem,Tolumnia variegata,Tolumnia leiboldii (Rchb.f.) Braem,Tolumnia leiboldii,Tolumnia,Tolumnia
554512,Tricalysia aurantiodora De Wild.,Tricalysia oligoneura K.Schum.,Tricalysia oligoneura K.Schum.,Tricalysia oligoneura K.Schum.,Tricalysia oligoneura,Tricalysia aurantiodora De Wild.,Tricalysia aurantiodora,Tricalysia,Tricalysia
554774,Trichostema brachiatum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
554775,Isanthus brachiatus var. linearis Fassett,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
554776,Isanthus coeruleus Michx.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
554777,Isanthus multiflorus Raf.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
554778,Isanthus pubescens Raf.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
554779,Isanthus pumilus Raf.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum L.,Trichostema dichotomum,Trichostema brachiatum L.,Trichostema brachiatum,Trichostema,Trichostema
555158,Uwarowia Bunge,Verbena L.,Verbena L.,Verbena L.,,Glandularia J.F.Gmel.,,Verbena,Glandularia
