,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
360759,Salix rorida var. eglandulosa Kimura ex Goerz,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. rorida,Salix rorida
360760,Salix rorida f. cordata Goerz,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. rorida,Salix rorida
360761,Salix rorida var. pendula Skvortsov,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. pendula Kimura,Salix rorida
360762,Salix rorida var. oblanceolata Y.L.Chou & Skvortsov,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. rorida,Salix rorida
360763,Salix lackschewitziana Toepff.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. rorida,Salix rorida
360764,Salix rorida f. pendula Kimura,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. pendula Kimura,Salix rorida
360765,Salix coerulescens Turcz.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida Laksch.,Salix rorida,Salix rorida f. rorida,Salix rorida
361024,Rosa cinnamomea L.,Rosa pendulina L.,Rosa pendulina L.,Rosa pendulina L.,Rosa pendulina,Rosa cinnamomea L.,Rosa cinnamomea
361449,Rosa communis var. histricosa (Crép.) Rouy & E.G.Camus,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa × andegavensis Bastard,Rosa × andegavensis
361599,Rosa rhynchocarpa Ripart ex Déségl.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa squarrosa (A.Rau) Boreau,Rosa squarrosa
361615,Rosa scabrata Crép.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa squarrosa (A.Rau) Boreau,Rosa squarrosa
361619,Rosa analoga Déségl.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa squarrosa (A.Rau) Boreau,Rosa squarrosa
361640,Rosa catalaunica Costa,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa squarrosa (A.Rau) Boreau,Rosa squarrosa
361738,Rosa cariotii Chabert,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa squarrosa (A.Rau) Boreau,Rosa squarrosa
362028,Rosa canina var. pruinosa (Baker) Baker,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina,Rosa caesia Sm.,Rosa caesia
362259,Crataegus oxyacantha subsp. walokochiana Hrabětová,Crataegus laevigata (Poir.) DC.,Crataegus laevigata (Poir.) DC.,Crataegus laevigata (Poir.) DC.,Crataegus laevigata,Crataegus × macrocarpa nothovar. hadensis (Hrabětová) K.I.Chr.,Crataegus × macrocarpa
362397,Abrotanum brachylobium Jord. & Fourr.,Artemisia abrotanum L.,Artemisia abrotanum L.,Artemisia abrotanum L.,Artemisia abrotanum,Artemisia alba subsp. alba,Artemisia alba
362444,Bidens wallichii DC.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata,Bidens biternata var. biternata,Bidens biternata
362445,Bidens portoricensis Spreng. ex DC.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata L.,Bidens bipinnata,Bidens cynapiifolia Kunth,Bidens cynapiifolia
363524,Conyza linifolia (Willd.) Täckh.,Erigeron canadensis L.,Erigeron canadensis L.,Erigeron canadensis L.,Erigeron canadensis,Erigeron bonariensis L.,Erigeron bonariensis
363632,Galatella tenuifolia Lindl. ex DC.,Cosmos bipinnatus Cav.,Cosmos bipinnatus Cav.,Cosmos bipinnatus Cav.,Cosmos bipinnatus,Galatella hauptii (Ledeb.) Lindl. ex DC.,Galatella hauptii
363663,Eupatorium perfoliatum f. truncatum (Muhl. ex Willd.) Fassett,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,Eupatorium perfoliatum,Eupatorium × truncatum Muhl. ex Willd.,Eupatorium × truncatum
363667,Eupatorium perfoliatum var. truncatum (Muhl. ex Willd.) A.Gray,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,Eupatorium perfoliatum,Eupatorium × truncatum Muhl. ex Willd.,Eupatorium × truncatum
363894,Gnaphalium saxicola Fassett,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium saxicola
363895,Gnaphalium obtusifolium var. saxicola (Fassett) Cronquist,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium saxicola
363896,Pseudognaphalium obtusifolium subsp. saxicola (Fassett) Kartesz,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium saxicola
363897,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium saxicola
363907,Saussurea gossypifera Spreng.,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora,Saussurea gossipiphora var. gossipiphora,Saussurea gossipiphora
363911,Cnicus gossypinus Wall. ex DC.,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora,Saussurea gossipiphora var. gossipiphora,Saussurea gossipiphora
363913,Eriocoryne nidularis Wall.,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora D.Don,Saussurea gossipiphora,Saussurea gossipiphora var. gossipiphora,Saussurea gossipiphora
364106,Indigofera strigosa Spreng.,Indigofera tenuifolia Lam.,Indigofera tenuifolia Lam.,Indigofera tenuifolia Lam.,Indigofera tenuifolia,Indigofera pinnata var. strigosa (Spreng.) du Preez & Schrire,Indigofera pinnata
364127,Lycopodium serratum var. myriophyllifolium Hayata,Huperzia serrata (Thunb.) Trevis.,Huperzia serrata (Thunb.) Trevis.,Huperzia serrata (Thunb.) Trevis.,Huperzia serrata,Huperzia myriophyllifolia (Hayata) Holub,Huperzia myriophyllifolia
364344,Solanum floridanum Shuttlew. ex Dunal,Solanum carolinense L.,Solanum carolinense L.,Solanum carolinense L.,Solanum carolinense,Solanum carolinense var. floridanum Chapm.,Solanum carolinense
364511,Linaria spuria subsp. elatiniflora (Wahlenb.) Nyman,Kickxia elatine subsp. sieberi (Rchb.) Hayek,Kickxia elatine subsp. sieberi (Rchb.) Hayek,Kickxia elatine subsp. sieberi (Rchb.) Hayek,Kickxia elatine,Kickxia elatine subsp. elatine,Kickxia elatine
364619,Polemonium filicinum Greene,Polemonium flavum Greene,Polemonium flavum Greene,Polemonium flavum Greene,Polemonium flavum,Polemonium filicinum Greene,Polemonium filicinum
365088,Alchemilla occidentalis Nutt.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis,Alchemilla occidentalis Nutt.,Alchemilla occidentalis
365099,Alchemilla cuneifolia Nutt.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis,Alchemilla occidentalis Nutt.,Alchemilla occidentalis
365102,Aphanes cuneifolia (Nutt.) Rydb.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis (L.) Scop.,Alchemilla arvensis,Alchemilla occidentalis Nutt.,Alchemilla occidentalis
365132,Alchemilla alpina var. debilicaulis Buser,Alchemilla alpina L.,Alchemilla alpina L.,Alchemilla alpina L.,Alchemilla alpina,Alchemilla debilicaulis (Buser) Buser,Alchemilla debilicaulis
365205,Alchemilla filicaulis var. minima (Walters) Rothm.,Alchemilla filicaulis Buser,Alchemilla filicaulis Buser,Alchemilla filicaulis Buser,Alchemilla filicaulis,Alchemilla minima Walters,Alchemilla minima
365213,Alchemilla minima Walters,Alchemilla filicaulis Buser,Alchemilla filicaulis Buser,Alchemilla filicaulis Buser,Alchemilla filicaulis,Alchemilla minima Walters,Alchemilla minima
365605,Alchemilla sylvestris (F.W.Schmidt) Opiz,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora
365607,Alchemilla vulgaris var. sylvestris F.W.Schmidt,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora
365608,Alchemilla vulgaris subsp. sylvestris (F.W.Schmidt) E.G.Camus,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora
365609,Alchemilla vulgaris proles sylvestris (F.W.Schmidt) Asch. & Graebn.,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis Buser,Alchemilla reniformis,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora
365922,Cercocarpus minutiflorus Abrams,Cercocarpus montanus Raf.,Cercocarpus montanus Raf.,Cercocarpus montanus Raf.,Cercocarpus montanus,Cercocarpus minutiflorus Abrams,Cercocarpus minutiflorus
366321,Cotoneaster obscurus var. cornifolius Rehder & E.H.Wilson,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis,Cotoneaster foveolatus Rehder & E.H.Wilson,Cotoneaster foveolatus
366322,Cotoneaster foveolatus Rehder & E.H.Wilson,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis,Cotoneaster foveolatus Rehder & E.H.Wilson,Cotoneaster foveolatus
366323,Pyrus cornifolia (Rehder & E.H.Wilson) M.F.Fay & Christenh.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis,Cotoneaster foveolatus Rehder & E.H.Wilson,Cotoneaster foveolatus
366325,Cotoneaster cornifolius (Rehder & E.H.Wilson) Flinck & B.Hylmö,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis Franch.,Cotoneaster moupinensis,Cotoneaster foveolatus Rehder & E.H.Wilson,Cotoneaster foveolatus
366340,Pyrus afghanica (G.Klotz) M.F.Fay & Christenh.,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius,Cotoneaster afghanicus G.Klotz,Cotoneaster afghanicus
366354,Cotoneaster afghanicus G.Klotz,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius Fisch. & C.A.Mey.,Cotoneaster nummularius,Cotoneaster afghanicus G.Klotz,Cotoneaster afghanicus
366429,Crataegus subrotundifolia Sarg.,Crataegus crus-galli L.,Crataegus crus-galli L.,Crataegus crus-galli L.,Crataegus crus-galli,Crataegus chrysocarpa var. subrotundifolia (Sarg.) J.B.Phipps,Crataegus chrysocarpa
366430,Crataegus arduennae Sarg.,Crataegus crus-galli L.,Crataegus crus-galli L.,Crataegus crus-galli L.,Crataegus crus-galli,Crataegus chrysocarpa var. subrotundifolia (Sarg.) J.B.Phipps,Crataegus chrysocarpa
366504,Crataegus flavida Sarg.,Crataegus dodgei Ashe,Crataegus dodgei Ashe,Crataegus dodgei Ashe,Crataegus dodgei,Crataegus flavida Sarg.,Crataegus flavida
366510,Crataegus punctata var. brevispina Douglas ex Hook.,Crataegus douglasii Lindl.,Crataegus douglasii Lindl.,Crataegus douglasii Lindl.,Crataegus douglasii,Crataegus rhodamae-loveae T.A.Dickinson,Crataegus rhodamae-loveae
366541,Crataegus glandulosa Michx.,Crataegus flava Aiton,Crataegus flava Aiton,Crataegus flava Aiton,Crataegus flava,Crataegus condigna Beadle,Crataegus condigna
366548,Mespilus michauxii (Pers.) F.Dietr.,Crataegus flava Aiton,Crataegus flava Aiton,Crataegus flava Aiton,Crataegus flava,Crataegus condigna Beadle,Crataegus condigna
366561,Crataegus douglasii var. suksdorfii Sarg.,Crataegus gaylussacia A.Heller,Crataegus gaylussacia A.Heller,Crataegus gaylussacia A.Heller,Crataegus gaylussacia,Crataegus suksdorfii (Sarg.) Kruschke,Crataegus suksdorfii
366562,Crataegus suksdorfii (Sarg.) Kruschke,Crataegus gaylussacia A.Heller,Crataegus gaylussacia A.Heller,Crataegus gaylussacia A.Heller,Crataegus gaylussacia,Crataegus suksdorfii (Sarg.) Kruschke,Crataegus suksdorfii
366595,Crataegus intricata var. rubella (Beadle) Kruschke,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366596,Crataegus apposita Sarg.,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366597,Crataegus intricata var. straminea (Beadle) E.J.Palmer,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366598,Crataegus intricata f. straminea (Beadle) Kruschke,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366600,Crataegus intricata var. biltmoreana (Beadle) Lance,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus biltmoreana Beadle,Crataegus biltmoreana
366601,Crataegus intricata var. boyntonii (Beadle) Kruschke,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus boyntonii Beadle,Crataegus boyntonii
366604,Crataegus biltmoreana Beadle,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus biltmoreana Beadle,Crataegus biltmoreana
366605,Crataegus ouachitensis var. minor E.J.Palmer,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus keeslingii Witsell & Lance,Crataegus keeslingii
366606,Crataegus biltmoreana var. stonei (Sarg.) Kruschke,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus stonei Sarg.,Crataegus stonei
366607,Crataegus rubella Beadle,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366613,Crataegus confusa Sarg.,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus biltmoreana Beadle,Crataegus biltmoreana
366616,Crataegus boyntonii Beadle,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus boyntonii Beadle,Crataegus boyntonii
366618,Crataegus villicarpa Sarg.,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus biltmoreana Beadle,Crataegus biltmoreana
366621,Crataegus stonei Sarg.,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus stonei Sarg.,Crataegus stonei
366622,Crataegus straminea Beadle,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus rubella Beadle,Crataegus rubella
366626,Mespilus biltmoreana (Beadle) Daniels,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata Lange,Crataegus intricata,Crataegus biltmoreana Beadle,Crataegus biltmoreana
366631,Crataegus oakesiana Eggl.,Crataegus irrasa Sarg.,Crataegus irrasa Sarg.,Crataegus irrasa Sarg.,Crataegus irrasa,Crataegus oakesiana Eggl.,Crataegus oakesiana
366635,Crataegus laurentiana Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae Sarg.,Crataegus jonesiae,Crataegus laurentiana Sarg.,Crataegus laurentiana
366761,Crataegus taurica Pojark.,Crataegus meyeri Pojark.,Crataegus meyeri Pojark.,Crataegus meyeri Pojark.,Crataegus meyeri,Crataegus taurica Pojark.,Crataegus taurica
366829,Crataegus opima Beadle,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus opima Beadle,Crataegus opima
366833,Crataegus pulcherrima var. opima (Beadle) Lance,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus opima Beadle,Crataegus opima
366840,Crataegus abstrusa Beadle,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus opima Beadle,Crataegus opima
366841,Crataegus mendosa Beadle,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus mendosa Beadle,Crataegus mendosa
366846,Crataegus illustris Beadle,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus opima Beadle,Crataegus opima
366847,Crataegus inanis Beadle,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima Ashe,Crataegus pulcherrima,Crataegus opima Beadle,Crataegus opima
366890,Crataegus asperifolia Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida,Crataegus asperifolia Sarg.,Crataegus asperifolia
366894,Crataegus scabrida var. asperifolia (Sarg.) Kruschke,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida,Crataegus asperifolia Sarg.,Crataegus asperifolia
366905,Crataegus egglestonii Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida,Crataegus egglestonii Sarg.,Crataegus egglestonii
366907,Crataegus brainerdii Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida Sarg.,Crataegus scabrida,Crataegus brainerdii Sarg.,Crataegus brainerdii
366982,Crataegus brittonii Eggl.,Crataegus uniflora Münchh.,Crataegus uniflora Münchh.,Crataegus uniflora Münchh.,Crataegus uniflora,Crataegus brittonii Eggl.,Crataegus brittonii
367136,Filipendula palmata f. nuda (Grubov) T.Shimizu,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata,Filipendula glaberrima Nakai,Filipendula glaberrima
367138,Filipendula palmata var. nuda (Grubov) Popov,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata,Filipendula glaberrima Nakai,Filipendula glaberrima
367145,Filipendula nuda Grubov,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata (Willd.) Bergmans,Filipendula digitata,Filipendula glaberrima Nakai,Filipendula glaberrima
367160,Fragaria muricata D.H.Kent,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367169,Fragaria magna Thuill.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367170,Fragaria elatior var. communis Poit.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367172,Fragaria elatior var. mascula Poit.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367173,Fragaria moschata dioica Duchesne,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367174,Fragaria moschata f. rubriflora Heimerl,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367175,Fragaria moschata subvar. rubriflora (Heimerl) Asch. & Graebn.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367177,Fragaria muricata Mill.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367178,Fragaria grandiflora Chevall.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367179,Fragaria grandiflora Crantz,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367180,Fragaria elatior f. altissima F.Gérard,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367181,Fragaria elatior var. dioica (Duchesne) Ser.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367182,Fragaria elatior var. magna (Thuill.) Mutel,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367184,Fragaria vesca moschata Duchesne,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367187,Fragaria reversa Kit.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367188,Fragaria vesca var. elatior Ehrh. ex T.Lestib.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367189,Fragaria vesca var. magna (Thuill.) DC.,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata Duchesne ex Weston,Fragaria moschata,Fragaria moschata subsp. moschata,Fragaria moschata
367212,Fragaria collina var. pendula (Weston) Sm.,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367215,Fragaria collina var. abortiva (Weston) Sm.,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367218,Fragaria vesca var. abortiva (Weston) Sm.,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367219,Fragaria vesca var. majaufea Duchesne ex Heynh.,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367220,Fragaria vesca var. zapateriana (Pau) Rivas Goday & Borja,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367221,Fragaria viridis var. pratensis L. ex Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis Weston,Fragaria viridis,Fragaria viridis subsp. viridis,Fragaria viridis
367295,Geum schofieldii Calder & Roy L.Taylor,Geum × macranthum (Kearney ex Rydb.) B.Boivin,Geum × macranthum (Kearney ex Rydb.) B.Boivin,Geum × macranthum (Kearney ex Rydb.) B.Boivin,Geum × macranthum,Geum schofieldii Calder & Roy L.Taylor,Geum schofieldii
367510,Malus ringo sublobata Dippel,Malus asiatica Nakai,Malus asiatica Nakai,Malus asiatica Nakai,Malus asiatica,Malus × sublobata (Dippel) Rehder,Malus × sublobata
367521,Malus sieversii subsp. kirghisorum (Al.Fed. & Fed.) Likhonos ex Korovina,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus kirghisorum Al.Fed. & Fed.,Malus kirghisorum
367524,Malus domestica var. dasyphylla (Borkh.) Langenf.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367552,Malus communis var. tomentosa W.D.J.Koch ex Gams,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367559,Malus pumila var. mitis (Wallr.) Hayek,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367585,Pyrus malus var. mitis Wallr.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367586,Pyrus malus subsp. mitis (Wallr.) Syme,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
367589,Malus kirghisorum Al.Fed. & Fed.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus kirghisorum Al.Fed. & Fed.,Malus kirghisorum
367611,Malus pumila f. mitis (Wallr.) Buia,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica (Suckow) Borkh.,Malus domestica,Malus × dasyphylla Borkh.,Malus × dasyphylla
